(48, 20, 907, 12, 16, 12, 290.6846618652344)
(50, 20, 804, 12, 16, 12, 290.7227783203125)
(52, 18, 706, 12, 16, 12, 290.74993896484375)
(48, 20, 907, 12, 16, 12, 290.7820129394531)
(52, 18, 706, 12, 16, 12, 290.7994689941406)
(42, 32, 804, 12, 16, 12, 290.8319396972656)
(48, 20, 706, 12, 16, 12, 290.86456298828125)
(52, 18, 706, 12, 16, 12, 290.8980407714844)
(48, 22, 907, 12, 16, 12, 290.9268798828125)
(48, 20, 804, 12, 16, 12, 290.9608154296875)
(48, 20, 1017, 12, 16, 12, 290.9958801269531)
(50, 20, 804, 12, 16, 12, 291.02545166015625)
(48, 20, 1017, 12, 16, 12, 291.09075927734375)
(14, 452, 706, 12, 16, 12, 291.1282043457031)
(50, 20, 804, 12, 16, 12, 291.153076171875)
(42, 32, 1134, 12, 16, 12, 291.2190246582031)
(14, 452, 706, 12, 16, 12, 291.2529296875)
(46, 28, 907, 12, 16, 12, 291.2848205566406)
(50, 20, 804, 12, 16, 12, 291.3016052246094)
(50, 20, 907, 12, 16, 12, 291.33428955078125)
(48, 20, 706, 12, 16, 12, 291.3983154296875)
(48, 22, 1134, 12, 16, 12, 291.4281311035156)
(48, 24, 907, 12, 16, 12, 291.4615478515625)
(12, 450, 530, 12, 16, 12, 291.4969177246094)
(48, 20, 1017, 12, 16, 12, 291.5275573730469)
(50, 18, 706, 12, 16, 12, 291.56512451171875)
(48, 20, 706, 12, 16, 12, 291.5932312011719)
(52, 18, 804, 12, 16, 12, 291.62396240234375)
(48, 20, 706, 12, 16, 12, 291.6733093261719)
(46, 28, 907, 12, 16, 12, 291.7217102050781)
(48, 20, 706, 12, 16, 12, 291.7521667480469)
(52, 18, 706, 12, 16, 12, 291.77056884765625)
(50, 20, 804, 12, 16, 12, 291.80352783203125)
(628, 228, 452, 12, 16, 12, 291.8330383300781)
(42, 32, 1134, 12, 16, 12, 291.8681640625)
(48, 20, 907, 12, 16, 12, 291.9009704589844)
(50, 18, 804, 12, 16, 12, 291.93255615234375)
(48, 22, 907, 12, 16, 12, 291.9656677246094)
(48, 20, 907, 12, 16, 12, 291.9966735839844)
(660, 2, 1017, 12, 16, 12, 292.0271911621094)
(50, 18, 706, 12, 16, 12, 292.06134033203125)
(48, 20, 907, 12, 16, 12, 292.09246826171875)
(50, 20, 804, 12, 16, 12, 292.11602783203125)
(48, 24, 907, 12, 16, 12, 292.14801025390625)
(12, 452, 706, 12, 16, 12, 292.1888732910156)
(22, 448, 615, 12, 16, 12, 292.2094421386719)
(34, 440, 530, 12, 16, 12, 292.23907470703125)
